id;name;is_always_full;current_amount_of_content;capacity;color;order_number;icon;icon_content_type;deleted_at
1;Data revolutionary withdrawal;false;15744;45450;purple;7923;../fake-data/blob/hipster.png;image/png;2020-08-25
2;Enhanced Forest transmitting;true;74404;49523;orange;2035;../fake-data/blob/hipster.png;image/png;2020-08-24
3;auxiliary Phased;true;51890;3651;mint green;17740;../fake-data/blob/hipster.png;image/png;2020-08-24
4;Persevering;true;16127;2552;cyan;34244;../fake-data/blob/hipster.png;image/png;2020-08-25
5;invoice;false;98556;67857;black;19813;../fake-data/blob/hipster.png;image/png;2020-08-24
6;e-business;false;64578;70754;lavender;9128;../fake-data/blob/hipster.png;image/png;2020-08-25
7;generate Generic Salad;false;88387;84529;tan;63834;../fake-data/blob/hipster.png;image/png;2020-08-24
8;virtual Auto Loan Account;true;77250;62050;mint green;24652;../fake-data/blob/hipster.png;image/png;2020-08-25
9;Awesome Frozen Shoes;true;52149;60328;maroon;60112;../fake-data/blob/hipster.png;image/png;2020-08-24
10;Coordinator Usability;true;2355;89723;orange;62224;../fake-data/blob/hipster.png;image/png;2020-08-24
