id;name;deleted_at;color;order_number;icon;icon_content_type
1;Iranian Rial Proactive Checking Account;2020-08-24;olive;81886;../fake-data/blob/hipster.png;image/png
2;high-level payment;2020-08-24;purple;5123;../fake-data/blob/hipster.png;image/png
3;Paradigm;2020-08-24;white;25061;../fake-data/blob/hipster.png;image/png
4;middleware quantify IB;2020-08-24;turquoise;4493;../fake-data/blob/hipster.png;image/png
5;Gloves;2020-08-24;plum;41475;../fake-data/blob/hipster.png;image/png
6;Sports Planner;2020-08-24;tan;79516;../fake-data/blob/hipster.png;image/png
7;programming New Hampshire;2020-08-24;blue;57898;../fake-data/blob/hipster.png;image/png
8;transmitting;2020-08-25;mint green;44605;../fake-data/blob/hipster.png;image/png
9;RSS withdrawal Tasty Metal Fish;2020-08-25;fuchsia;41035;../fake-data/blob/hipster.png;image/png
10;haptic Wooden Rubber;2020-08-25;lavender;80722;../fake-data/blob/hipster.png;image/png
