id;name;color;icon;icon_content_type;order_number;deleted_at
1;Secured productize;green;../fake-data/blob/hipster.png;image/png;44189;2020-08-24
2;calculate program;olive;../fake-data/blob/hipster.png;image/png;54448;2020-08-25
3;Pants;violet;../fake-data/blob/hipster.png;image/png;79161;2020-08-24
4;cross-platform;sky blue;../fake-data/blob/hipster.png;image/png;19103;2020-08-25
5;installation e-enable feed;fuchsia;../fake-data/blob/hipster.png;image/png;57292;2020-08-24
6;Chief;gold;../fake-data/blob/hipster.png;image/png;2812;2020-08-24
7;explicit Gold;ivory;../fake-data/blob/hipster.png;image/png;39365;2020-08-25
8;Secured virtual District;plum;../fake-data/blob/hipster.png;image/png;15321;2020-08-25
9;Representative Car Granite;black;../fake-data/blob/hipster.png;image/png;84003;2020-08-25
10;Investor;purple;../fake-data/blob/hipster.png;image/png;20551;2020-08-25
