id;realized_at;created_at;additional_information;deleted_at
1;2020-08-24;2020-08-25;Italy Buckinghamshire;2020-08-24
2;2020-08-25;2020-08-24;Program Outdoors Checking Account;2020-08-25
3;2020-08-25;2020-08-24;overriding Enterprise-wide Specialist;2020-08-25
4;2020-08-25;2020-08-24;index HTTP seamless;2020-08-24
5;2020-08-25;2020-08-25;azure;2020-08-25
6;2020-08-25;2020-08-24;Som Tasty Concrete Gloves;2020-08-25
7;2020-08-24;2020-08-24;methodical Gorgeous Concrete Soap;2020-08-24
8;2020-08-24;2020-08-24;Colombia grey Towels;2020-08-24
9;2020-08-24;2020-08-24;Assimilated Cambridgeshire Swiss Franc;2020-08-25
10;2020-08-24;2020-08-25;navigate Shoes Strategist;2020-08-25
