id;name;filling_effect;order_number;color;icon;icon_content_type;deleted_at
1;Montana Russian Federation Summit;NO_EFFECT;31244;lavender;../fake-data/blob/hipster.png;image/png;2020-08-24
2;orange digital Personal Loan Account;NO_EFFECT;70649;white;../fake-data/blob/hipster.png;image/png;2020-08-24
3;Rustic Concrete Tuna deposit;NO_EFFECT;95257;violet;../fake-data/blob/hipster.png;image/png;2020-08-25
4;XML Mouse;BOTTLED;25895;grey;../fake-data/blob/hipster.png;image/png;2020-08-25
5;Wisconsin;NO_EFFECT;57761;lime;../fake-data/blob/hipster.png;image/png;2020-08-24
6;Ergonomic Rubber Bike;REFILL;1027;purple;../fake-data/blob/hipster.png;image/png;2020-08-25
7;1080p national Awesome;NO_EFFECT;37847;salmon;../fake-data/blob/hipster.png;image/png;2020-08-25
8;PCI Costa Rican Colon;REFILL;93875;red;../fake-data/blob/hipster.png;image/png;2020-08-25
9;magenta Armenian Dram copy;NO_EFFECT;97384;black;../fake-data/blob/hipster.png;image/png;2020-08-24
10;Roads metrics;BOTTLED;68295;violet;../fake-data/blob/hipster.png;image/png;2020-08-25
