id;name;element;expression
1;foreground Granite;SEARCHABLE_COMBOBOX;Madagascar Sleek Granite Bike portal
2;Optimization Corporate one-to-one;MULTIBLE_CHOICE_CHECKBOX;embrace generating
3;synthesizing;MULTIBLE_CHOICE_CHECKBOX;maroon
4;New York;INTEGER_SPINNER;Unbranded Frozen Shoes
5;Automotive Highway Markets;DATE_PICKER;extend
6;Credit Card Account;DECIMAL_SPINNER;North Dakota Consultant functionalities
7;Licensed Rubber Towels Borders Pennsylvania;SEARCHABLE_COMBOBOX;engage functionalities Credit Card Account
8;Solomon Islands Dollar Incredible Frozen Bacon;TEXT_FIELD;magnetic Rustic Frozen Ball Rapids
9;Assistant invoice;DATE_PICKER;panel GB content
10;Tuna Central African Republic;RANGE_SLIDER;overriding CSS auxiliary
